epoch,accuracy,loss,val_accuracy,val_loss
0,0.8305720686912537,202.57545471191406,0.8481599688529968,178.846435546875
1,0.8563604354858398,174.0918731689453,0.8598288297653198,168.82542419433594
2,0.8655152916908264,165.0881805419922,0.8711801171302795,162.2427520751953
3,0.8710387945175171,159.62582397460938,0.8722655773162842,159.3391571044922
4,0.8745391964912415,156.18458557128906,0.8703138828277588,158.49685668945312
5,0.8768008351325989,154.0211639404297,0.8793054819107056,154.09661865234375
6,0.8783486485481262,152.48179626464844,0.8800252676010132,153.3177947998047
7,0.879567563533783,151.21775817871094,0.8795157074928284,151.5269012451172
8,0.8805859088897705,150.20944213867188,0.8787643909454346,151.29811096191406
9,0.8812955021858215,149.4581756591797,0.8809512853622437,150.19949340820312
10,0.881969153881073,148.74974060058594,0.8863049745559692,153.97596740722656
11,0.882603645324707,148.12637329101562,0.8789640069007874,151.36773681640625
12,0.883124589920044,147.59036254882812,0.8833641409873962,148.66348266601562
13,0.8837047815322876,147.03526306152344,0.8808327913284302,148.658935546875
14,0.8839756846427917,146.6866455078125,0.8812099695205688,149.93484497070312
15,0.884477436542511,146.2095489501953,0.8776627779006958,149.8586883544922
16,0.8848183751106262,145.9021453857422,0.8859879970550537,148.40167236328125
17,0.8850941061973572,145.58139038085938,0.8836612105369568,146.89328002929688
18,0.8852953314781189,145.4187774658203,0.8878715634346008,147.9066162109375
19,0.8855794072151184,145.08999633789062,0.8845430016517639,148.55067443847656
20,0.8856590986251831,144.93927001953125,0.8861784338951111,147.70333862304688
21,0.885982871055603,144.7014617919922,0.8813034296035767,150.44447326660156
22,0.8861508369445801,144.48391723632812,0.8870049715042114,147.68716430664062
