epoch,accuracy,loss,val_accuracy,val_loss
0,0.4117056727409363,1.2447025775909424,0.42320001125335693,1.081136703491211
1,0.43096989393234253,1.048560380935669,0.42266666889190674,1.040938138961792
2,0.4329766035079956,1.0229673385620117,0.41573333740234375,1.0500330924987793
3,0.44561871886253357,0.9997668266296387,0.41359999775886536,1.0097177028656006
4,0.44374582171440125,0.9942311644554138,0.4405333399772644,0.9923856258392334
5,0.43913042545318604,0.996906042098999,0.4437333345413208,0.9724852442741394
6,0.44715720415115356,0.9758248925209045,0.41946667432785034,0.984135627746582
7,0.44575250148773193,0.9765486717224121,0.4490666687488556,0.9718772768974304
8,0.4480936527252197,0.9688596129417419,0.4607999920845032,0.965298593044281
9,0.453244149684906,0.9544462561607361,0.46320000290870667,0.9562282562255859
10,0.4543812572956085,0.9587920308113098,0.4402666687965393,0.9584856033325195
11,0.4509029984474182,0.9511272311210632,0.41546666622161865,0.9697035551071167
12,0.4564548432826996,0.9533298015594482,0.4405333399772644,0.9624590873718262
13,0.45391303300857544,0.9531012773513794,0.458133339881897,0.9369657635688782
14,0.4555852711200714,0.9499655365943909,0.4480000138282776,0.955384373664856
15,0.45197322964668274,0.9466530084609985,0.4405333399772644,0.9626017808914185
16,0.46274247765541077,0.9398942589759827,0.4551999866962433,0.9601457715034485
17,0.4618060290813446,0.9473947882652283,0.47119998931884766,0.9432627558708191
18,0.46361204981803894,0.9415084719657898,0.4519999921321869,0.9391335844993591
19,0.4615384638309479,0.9482964873313904,0.439466655254364,0.9500607252120972
